time,plot,program
5.250807046890259,alpha,matplotlib
4.990531921386719,alpha2,matplotlib
1.8139610290527344,boxplot,matplotlib
0.65447998046875,sample,matplotlib
0.4514429569244385,histogram,matplotlib
5.4606969356536865,alpha,matplotlib
5.242506980895996,alpha2,matplotlib
1.7556500434875488,boxplot,matplotlib
0.653717041015625,sample,matplotlib
0.46198582649230957,histogram,matplotlib
5.581261157989502,alpha,matplotlib
4.909379959106445,alpha2,matplotlib
1.7601068019866943,boxplot,matplotlib
0.6713478565216064,sample,matplotlib
0.46392393112182617,histogram,matplotlib
5.319423198699951,alpha,matplotlib
5.18477988243103,alpha2,matplotlib
1.8471641540527344,boxplot,matplotlib
0.6902749538421631,sample,matplotlib
0.45287203788757324,histogram,matplotlib
5.235805988311768,alpha,matplotlib
5.159326076507568,alpha2,matplotlib
1.7599740028381348,boxplot,matplotlib
0.6572921276092529,sample,matplotlib
0.45647287368774414,histogram,matplotlib
35.564228,alpha,R
35.996282,alpha2,R
4.728723,boxplot,R
0.414239,histogram,R
0.067727,sample,R
35.348137,alpha,R
34.883006,alpha2,R
4.815291,boxplot,R
0.272698,histogram,R
0.070807,sample,R
35.457272,alpha,R
35.974058,alpha2,R
4.916746,boxplot,R
0.376239,histogram,R
0.067783,sample,R
35.435448,alpha,R
36.034373,alpha2,R
4.549455,boxplot,R
0.384269,histogram,R
0.070621,sample,R
35.692121,alpha,R
35.758039,alpha2,R
4.620234,boxplot,R
0.390427,histogram,R
0.067666,sample,R
58.336803,alpha,ggplot2
53.793985,alpha2,ggplot2
9.848933,boxplot,ggplot2
3.405394,histogram,ggplot2
0.207932,sample,ggplot2
52.564974,alpha,ggplot2
52.390502,alpha2,ggplot2
10.021269,boxplot,ggplot2
4.178795,histogram,ggplot2
0.206973,sample,ggplot2
51.838145,alpha,ggplot2
51.961234,alpha2,ggplot2
9.991271,boxplot,ggplot2
3.594895,histogram,ggplot2
0.213276,sample,ggplot2
52.456540,alpha,ggplot2
53.011578,alpha2,ggplot2
9.982343,boxplot,ggplot2
3.502656,histogram,ggplot2
0.205780,sample,ggplot2
51.701849,alpha,ggplot2
52.574993,alpha2,ggplot2
10.071549,boxplot,ggplot2
3.377793,histogram,ggplot2
0.216440,sample,ggplot2
